,Rank,Name of movie,Year of release,Watchtime,Movie Rating,Metascore,Votes,Gross collection,Description,Director,URL,Movie_Rating_bin,metascore_bin,watchtime_bin,Cast1,Cast2,Cast3,Cast4,Adventure,Music,Action,Fantasy,Thriller,War,Biography,Mystery,Comedy,Sport,Horror,Film-Noir,Romance,Family,Musical,Western,Sci-Fi,Drama,Crime,History,Animation,watchtime_minmax,gross_minmax,watchtime_standard,gross_standard
35,36,Sita Ramam,2022-01-01,163,8.6,83.0,"58,510",30.255,orphan soldier lieutenant ram life change get letter girl named sita meet love blossom come back camp kashmirafter get caught jail sends letter sita wont reach,Hanu Raghavapudi,https://www.imdb.com/title/tt20850406/,excellent,excellent,long,['Dulquer Salmaan', 'Mrunal Thakur', 'Rashmika Mandanna', 'Sumanth'],0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4275362318840579,0.035235798499464094,1.044012144745525,-0.4023017555627511
36,37,Gladiator,2000-01-01,155,8.5,67.0,"1,526,351",187.71,former roman general set exact vengeance corrupt emperor murdered family sent slavery,Ridley Scott,https://www.imdb.com/title/tt0172495/,excellent,very good,long,['Russell Crowe', 'Joaquin Phoenix', 'Connie Nielsen', 'Oliver Reed'],0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3985507246376812,0.2186728179318701,0.7854813096695578,0.8770460149473523
37,38,Gisaengchung,2019-01-01,132,8.5,96.0,"842,165",53.37,greed class discrimination threaten newly formed symbiotic relationship wealthy park family destitute kim clan,Bong Joon Ho,https://www.imdb.com/title/tt6751668/,excellent,excellent,long,['Song Kang-ho', 'Lee Sun-kyun', 'Cho Yeo-jeong', 'Choi Woo-sik'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.31521739130434784,0.06216505894962487,0.04220515882615202,-0.21448857900220336
38,39,Whiplash,2014-01-01,106,8.5,89.0,"894,183",13.09,promising young drummer enrolls cutthroat music conservatory dream greatness mentored instructor stop nothing realize student potential,Damien Chazelle,https://www.imdb.com/title/tt2582802/,excellent,excellent,medium,['Miles Teller', 'J.K. Simmons', 'Melissa Benoist', 'Paul Reiser'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.22101449275362317,0.015238361526632183,-0.7980200551707415,-0.5417702035688856
39,40,The Departed,2006-01-01,151,8.5,85.0,"1,348,038",132.38,undercover cop mole police attempt identify infiltrating irish gang south boston,Martin Scorsese,https://www.imdb.com/title/tt0407887/,excellent,excellent,long,['Leonardo DiCaprio', 'Matt Damon', 'Jack Nicholson', 'Mark Wahlberg'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.38405797101449274,0.15421268465445734,0.6562158921315742,0.42748066521362504
40,41,Back to the Future,1985-01-01,116,8.5,87.0,"1,229,590",210.61,marty mcfly 17yearold high school student accidentally sent 30 year past timetraveling delorean invented close friend maverick scientist doc brown,Robert Zemeckis,https://www.imdb.com/title/tt0088763/,excellent,excellent,medium,['Michael J. Fox', 'Christopher Lloyd', 'Lea Thompson', 'Crispin Glover'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2572463768115942,0.24535160072696774,-0.47485651132578244,1.0631122811483709
41,42,The Prestige,2006-01-01,130,8.5,66.0,"1,356,368",53.09,tragic accident two stage magician 1890s london engage battle create ultimate illusion sacrificing everything outwit,Christopher Nolan,https://www.imdb.com/title/tt0482571/,excellent,very good,long,['Christian Bale', 'Hugh Jackman', 'Scarlett Johansson', 'Michael Caine'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.3079710144927536,0.06183885549186822,-0.02242754994283978,-0.21676362505182276
42,43,Alien,1979-01-01,117,8.5,89.0,"897,887",78.9,crew commercial spacecraft encounter deadly lifeform investigating unknown transmission,Ridley Scott,https://www.imdb.com/title/tt0078748/,excellent,excellent,medium,['Sigourney Weaver', 'Tom Skerritt', 'John Hurt', 'Veronica Cartwright'],0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.2608695652173913,0.09190782422293678,-0.4425401569412865,-0.007053130263687923
43,44,Léon,1994-01-01,110,8.5,64.0,"1,181,771",19.5,12yearold mathilda reluctantly taken léon professional assassin family murdered unusual relationship form becomes protégée learns assassin trade,Luc Besson,https://www.imdb.com/title/tt0110413/,excellent,very good,medium,['Jean Reno', 'Gary Oldman', 'Natalie Portman', 'Danny Aiello'],0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23550724637681159,0.022706090684561257,-0.6687546376327578,-0.48968789936152635
44,45,Psycho,1960-01-01,109,8.5,97.0,"683,394",32.0,phoenix secretary embezzles 40000 employer client go run check remote motel run young man domination mother,Alfred Hitchcock,https://www.imdb.com/title/tt0054215/,excellent,excellent,medium,['Anthony Perkins', 'Janet Leigh', 'Vera Miles', 'John Gavin'],0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.23188405797101447,0.03726874504869752,-0.7010709920172538,-0.3881233435749442
